organization,contact,title,email,vertical,notes
YMCA OF READING & BERKS CO,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: ymca. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Reading, PA; annual revenue $10,199,505; source LMS score 48/100."
BOYS & GIRLS CLUBS OF WESTERN PA,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: boys & girls. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Pittsburgh, PA; annual revenue $9,847,985; source LMS score 48/100."
NEIGHBORHOOD LEGAL SERVICES ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $9,650,863; source LMS score 48/100."
HANOVER AREA YMCA,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: ymca. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Hanover, PA; annual revenue $9,442,386; source LMS score 48/100."
LEHIGHTON AMBULANCE ASSOCIATION INC,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lehighton, PA; annual revenue $9,432,076; source LMS score 48/100."
WESTERN BERKS AMBULANCE ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: West Lawn, PA; annual revenue $9,342,183; source LMS score 48/100."
THE VISITING NURSE ASSOCIATION OF GREATER PHILADELPHIA,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $8,515,565; source LMS score 48/100."
VISITING NURSE ASSOCIATION OF INDIANA COUNTY,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Indiana, PA; annual revenue $8,509,283; source LMS score 48/100."
GREATER SUSQUEHANNA VALLEY YMCA,,,,Youth organization,"assets >$10M; revenue >$5M; adjacent education segment; keyword: ymca. Likely motion: distributed program/staff/volunteer training. Brightspace angle: Program staff, volunteer, chapter/site training, and learner tracking across locations. Context: Sunbury, PA; annual revenue $8,473,393; source LMS score 48/100."
LAWRENCE COUNTY ASSOCIATION FOR RESPONSIBLE CARE,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: New Castle, PA; annual revenue $8,269,528; source LMS score 48/100."
SOCIETY OF ST VINCENT DE PAUL CENTRAL COUNCIL OF PITTSBURGH,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $8,162,273; source LMS score 48/100."
CHRISTIAN SCHOOL ASSOCIATION OF YORK INC,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: York, PA; annual revenue $7,724,727; source LMS score 48/100."
DELAWARE COUNTY SOCIETY FOR THE PREV OF CRUELTY TO ANIMALS,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Media, PA; annual revenue $7,694,929; source LMS score 48/100."
GOLF ASSOCIATION OF PHILADELPHIA,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Broomall, PA; annual revenue $7,571,394; source LMS score 48/100."
PHILADELPHIA FILM SOCIETY,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $7,400,541; source LMS score 48/100."
LEHIGH VALLEY ZOOLOGICAL SOCIETY,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Schnecksville, PA; annual revenue $7,034,688; source LMS score 48/100."
CHARCOT-MARIE-TOOTH ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Glenolden, PA; annual revenue $6,864,031; source LMS score 48/100."
LUTHERAN SOCIAL MISSION SOCIETY OF PHILADELPHIA,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $6,486,589; source LMS score 48/100."
AMERICAN CABLE ASSOCIATION INC,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Beaver, PA; annual revenue $6,409,333; source LMS score 48/100."
JEFFERSON HILLS AREA AMBULANCE ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Jefferson Hls, PA; annual revenue $6,295,764; source LMS score 48/100."
AMERICAN PHILATELIC SOCIETY,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Bellefonte, PA; annual revenue $5,899,950; source LMS score 48/100."
INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $5,811,601; source LMS score 48/100."
PHILADELPHIA ANIMAL WELFARE SOCIETY,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $5,772,310; source LMS score 48/100."
PENNSYLVANIA BANKERS ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Harrisburg, PA; annual revenue $5,760,983; source LMS score 48/100."
JOHN BARTRAM ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $5,635,681; source LMS score 48/100."
ONCOLOGY NURSING SOCIETY,,,,Association / member organization,"revenue >$5M; priority segment; keyword: society. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $5,593,537; source LMS score 48/100."
PENNSYLVANIA CHILD CARE ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Lemoyne, PA; annual revenue $5,516,067; source LMS score 48/100."
PENNSYLVANIA ASSOCIATION FOR THE BLIND,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Camp Hill, PA; annual revenue $5,253,237; source LMS score 48/100."
ALLEGHENY COUNTY BAR ASSOCIATION,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Pittsburgh, PA; annual revenue $5,178,447; source LMS score 48/100."
COMMUNITY ACTION ASSOCIATION OF PENNSYLVANIA,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Palmyra, PA; annual revenue $5,130,762; source LMS score 48/100."
WHARTON GRADUATE ASSOCIATION TWGA INC,,,,Association / member organization,"revenue >$5M; priority segment; keyword: association. Likely motion: member education; CE/non-dues revenue fit-check. Brightspace angle: Member education, CE, certification support, segmentation, reporting, and non-dues learning revenue. Context: Philadelphia, PA; annual revenue $5,048,713; source LMS score 48/100."
